,Type_of_course_Aggregate,Type_of_Fine_Aggregate_,Max._Size_of_Coarse_Aggregate_(mm),Passing_0.6_mm_Sieve_(%),Target_Mean_Strength_(Npermm2),Cement_O.P.C_(Kgperm3),WaterCement_Ratio,Water_Content_(Kgperm3),,Additive_Type_&_Dosage_(per100_kg_of_cement),Total_Aggregate_(Kgperm3),Fine_Aggregate_(Kgperm3),Coarse_Aggregate_(Kgperm3),Workability_Slump_(mm),Hardened_Concrete_Desnity_(avg.),7_day_str,28_day_str,Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Passing_0.6mm_Sieve(%),Additive_Type_&_Dos._(per100_Kg_of_cement),Admix_type,Admix_dosage
155,Crushed,Natural,20,15.4,38,350,0.54,190,,0,1910,765,1145,80,2455,27.1,0,0,0,0,0,,
156,Crushed,Natural,20,38.3,38,350,0.49,185,,0,1915,770,1145,110,2451,23.4,32.9,0,0,0,0,,
157,Crushed,Natural,20,38.3,38,350,0.53,185,,0,1915,770,1145,110,2455,32.4,0,0,0,0,0,,
158,Natural,Natural,20,32.4,38,350,0.51,180,,0,1850,705,1145,160,2389,26.4,0,0,0,0,0,,
159,Natural,Natural,20,32.4,38,350,0.51,180,,0,1850,705,1145,160,2394,28.6,0,0,0,0,0,,
160,Natural,Natural,20,55.1,38,350,0.51,180,,0,1850,705,1145,100,2382,27.1,0,0,0,0,0,,
161,Natural,Natural,20,55.1,38,350,0.51,180,,0,1850,705,1145,100,2384,27.1,32.1,0,0,0,0,,
162,Crushed,Natural,40,41.4,38,350,0.54,190,,0,1910,765,1145,120,2404,21.9,28.5,0,0,0,0,,
163,Crushed,Natural,40,41.4,38,350,0.54,190,,0,1910,765,1145,120,2404,21.9,0,0,0,0,0,,
164,Natural,Natural,40,32.4,38,350,0.51,180,,0,1850,705,1145,160,2396,26.4,0,0,0,0,0,,
165,Natural,Natural,40,32.4,38,350,0.51,180,,0,1850,705,1145,160,2390,28.6,39.6,0,0,0,0,,
166,Natural,Natural,40,32.4,38,350,0.51,180,,0,1850,705,1145,160,2398,26.4,32.7,0,0,0,0,,
167,Natural,Natural,40,32.4,28,350,0.51,180,,0,1850,705,1145,160,2392,28.6,0,0,0,0,0,,
168,Natural,Natural,40,37.4,38,300,0.53,160,,type SP 801 dos 1 lit,1940,790,1150,150,2407,28.3,33.5,0,0,0,0,,
169,Natural,Natural,40,37.4,38,300,0.53,160,,type SP 801 dos 1 lit,1940,790,1150,150,2405,28.3,0,0,0,0,0,,
170,Natural,Natural,20,34.5,38,325,0.49,160,,reho build 850 .75 lit,1915,765,1150,100,2402,27.6,0,0,0,0,0,,
171,Crushed,Natural,20,31.3,38,350,0.51,180,,Type SP Gold* Dos 0.75 lit,1920,770,1150,175,2455,35.5,47.3,0,0,0,0,,
172,Crushed,Natural,20,31.3,38,350,0.51,180,,Type SP Gold* Dos 0.75 lit,1920,770,1150,175,2456,35.5,0,0,0,0,0,,
173,Crushed,Natural,20,36,38,350,0.54,190,,0,1920,770,1150,120,2463,24.8,31.1,0,0,0,0,,
174,Crushed,Natural,20,0,38,350,0.54,290,,0,1920,770,1150,65,2465,28.4,0,0,0,0,0,,
175,Crushed,Natural,20,0,38,350,0.54,190,,0,1920,770,1150,65,2460,28.4,33.3,0,0,0,0,,
176,Crushed,Natural,20,53.5,38,350,0.51,180,,Type JY -4Pump -Aiding * Dos 1.25%,1920,725,1150,130,2453,28.6,35.9,0,0,0,0,,
177,Crushed,Natural,20,53.5,38,350,0.51,180,,Type JY -4Pump -Aiding * Dos 1.25%,1920,725,1150,130,2454,28.6,0,0,0,0,0,,
178,Crushed,Natural,20,36,38,350,0.54,190,,0,1920,770,1150,120,2465,24.8,0,0,0,0,0,,
179,Natural,Natural,40,47.6,38,350,0.51,180,,0,1850,700,1150,110,2384,23.7,0,0,0,0,0,,
180,Natural,Natural,40,33.1,38,350,0.5,175,,0,1855,705,1150,140,2383,37.7,0,0,0,0,0,,
181,Natural,Natural,40,33.1,38,350,0.5,175,,0,1855,705,1150,140,2383,27.7,36.3,0,0,0,0,,
182,Natural,Natural,40,31.2,38,350,0.5,175,,0,1855,705,1150,100,2396,27.9,0,0,0,0,0,,
183,Natural,Natural,40,31.2,38,350,0.5,175,,0,1855,705,1150,100,2402,27.9,32.8,0,0,0,0,,
